"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P.60","P1.60","GS","GS.60","CF"
"LEON.DRAISAITL","2019-2020","EDM","C",13,223.96,7,7,14,14,3.75,3.75,13,3.48,196
"DAVID.PASTRNAK","2019-2020","BOS","R",12,164.08,5,8,13,12,4.75,4.39,14.73,5.39,174
"BRAD.MARCHAND","2019-2020","BOS","C",12,150.28,6,6,12,11,4.79,4.39,14.22,5.68,160
"SIDNEY.CROSBY","2019-2020","PIT","C",13,212.4,2,10,12,10,3.39,2.82,14.45,4.08,236
"CONNOR.MCDAVID","2019-2020","EDM","C",13,228.78,3,8,11,8,2.88,2.1,10.31,2.7,196
"NIKOLAJ.EHLERS","2019-2020","WPG","L",13,195.55,4,7,11,9,3.38,2.76,14.45,4.43,222
"AUSTON.MATTHEWS","2019-2020","TOR","C",14,203.08,7,3,10,9,2.95,2.66,14.16,4.18,235
"JONATHAN.HUBERDEAU","2019-2020","FLA","C",12,163.47,5,5,10,10,3.67,3.67,9.62,3.53,154
"TYLER.BERTUZZI","2019-2020","DET","L",13,190,4,6,10,7,3.16,2.21,10.45,3.3,211
"ALEKSANDER.BARKOV","2019-2020","FLA","C",12,155.62,0,9,9,4,3.47,1.54,7.45,2.87,150
"ALEX.OVECHKIN","2019-2020","WSH","L",14,199.44,5,4,9,9,2.71,2.71,10.29,3.1,203
"ANTHONY.MANTHA","2019-2020","DET","R",13,196.62,4,5,9,8,2.75,2.44,10.67,3.26,209
"CONNOR.BROWN","2019-2020","OTT","R",11,153.02,1,8,9,6,3.53,2.35,7.69,3.02,142
"DOMINIK.SIMON","2019-2020","PIT","C",13,202.63,2,7,9,4,2.66,1.18,9.95,2.95,219
"ELIAS.PETTERSSON","2019-2020","VAN","C",11,139.9,3,6,9,8,3.86,3.43,11.78,5.05,159
"JAKE.GUENTZEL","2019-2020","PIT","C",13,218.28,5,4,9,8,2.47,2.2,12.2,3.35,239
"NICK.BONINO","2019-2020","NSH","C",12,130.87,5,4,9,8,4.13,3.67,10.08,4.62,134
"ADAM.HENRIQUE","2019-2020","ANA","C",14,171.27,7,1,8,8,2.8,2.8,10.93,3.83,168
"BRENDAN.GALLAGHER","2019-2020","MTL","R",11,142.07,4,4,8,6,3.38,2.53,11.5,4.86,168
"DYLAN.LARKIN","2019-2020","DET","C",13,201.03,3,5,8,7,2.39,2.09,12.35,3.69,232
"ILYA.MIKHEYEV","2019-2020","TOR","R",14,175.05,3,5,8,6,2.74,2.06,9.52,3.26,182
"JAKOB.SILFVERBERG","2019-2020","ANA","R",14,171.3,3,5,8,6,2.8,2.1,9.38,3.29,166
"J.T..MILLER","2019-2020","VAN","C",11,140.55,4,4,8,6,3.42,2.56,12.6,5.38,179
"MARK.SCHEIFELE","2019-2020","WPG","C",13,212.33,1,7,8,5,2.26,1.41,4.59,1.3,192
"NICK.SCHMALTZ","2019-2020","ARI","C",11,127.13,3,5,8,6,3.78,2.83,8.93,4.21,132
"ZACK.KASSIAN","2019-2020","EDM","R",13,205.62,3,5,8,4,2.33,1.17,7.55,2.2,177
"ARTEMI.PANARIN","2019-2020","NYR","C",10,158.81,3,4,7,4,2.64,1.51,6.55,2.47,148
"BRETT.CONNOLLY","2019-2020","FLA","R",12,149.38,4,3,7,6,2.81,2.41,6.71,2.7,130
"BROCK.BOESER","2019-2020","VAN","R",11,141.07,3,4,7,4,2.98,1.7,9.14,3.89,157
"DYLAN.STROME","2019-2020","CHI","C",11,130.87,3,4,7,5,3.21,2.29,7.22,3.31,129
"FILIP.FORSBERG","2019-2020","NSH","L",6,74.89,4,3,7,6,5.61,4.81,6.8,5.45,84
"JEFF.SKINNER","2019-2020","BUF","C",13,173.95,7,0,7,7,2.41,2.41,7.92,2.73,138
"MARCUS.JOHANSSON","2019-2020","BUF","L",13,166.63,2,5,7,5,2.52,1.8,4.35,1.57,126
